,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
C0,478.939,595.382,677.711,1015.32,320.385,382.085,963.836,890.059,860.235,864.436,849.642,1042.364,1227.722,1838.712,1299.721
C1,356.035,432.398,468.236,572.437,489.369,524.996,531.161,526.104,515.999,508.36,505.596,509.847,515.557,523.465,511.757
C2,139.636,142.175,148.289,196.529,209.863,215.402,201.687,206.174,205.48,203.885,203.533,206.392,210.842,220.637,215.831
C3,170.381,197.484,181.304,262.058,363.322,316.075,254.483,265.395,278.878,296.516,310.738,329.072,350.08,384.888,352.65
C4,11.955,10.106,10.689,35.552,43.898,37.17,35.928,35.069,30.131,27.535,26.509,25.581,26.784,36.691,43.329
C5,18.855,12.204,9.322,15.385,11.745,9.476,11.746,11.179,9.051,6.42,4.768,4.087,3.986,7.805,7.993
C6,8.057,8.862,5.049,12.531,6.588,5.525,8.512,12.167,12.002,11.439,11.19,12.579,13.311,16.038,13.658
C7,2.362,4.383,2.589,4.17,3.188,4.069,6.295,8.111,7.926,8.156,8.49,7.685,7.45,8.328,7.856
C8,2.378,3.673,3.257,6.474,7.287,6.214,6.01,10.73,12.478,13.313,14.159,15.447,16.593,20.624,19.181
C9,2.345,1.723,1.366,3.917,2.595,2.557,3.347,5.175,4.725,4.314,4.176,3.965,4.316,5.119,6.866
C10,5.612,5.592,5.347,11.291,6.546,9.622,9.778,11.288,10.785,10.473,10.331,9.447,8.766,9.158,7.731
C11,9.214,12.192,7.821,23.079,13.439,9.729,19.594,18.284,14.939,11.68,9.703,9.796,9.813,17.292,17.961
C12,22.256,23.188,28.283,40.206,28.342,24.771,33.108,39.78,41.084,43.007,44.856,46.125,48.702,53.869,42.703
C13,19.379,24.799,24.351,39.403,35.826,34.792,39.046,31.311,25.561,22.428,20.794,19.555,18.437,22.959,22.445
C14,11.611,17.558,21.627,25.446,22.065,23.186,22.5,25.318,26.014,25.016,23.807,25.619,27.386,32.993,27.199
C15,23.501,34.394,41.712,84.345,60.558,50.265,58.957,69.269,70.83,70.472,71.546,87.731,105.106,172.533,158.367
C16,61.572,72.174,84.217,115.241,111.976,115.166,110.908,102.327,96.087,93.926,97.86,100.627,110.843,142.4,131.564
C17,89.868,114.312,119.84,203.8,197.003,172.118,208.558,201.537,199.16,198.496,198.859,226.922,266.037,443.319,453.719
C18,138.66,175.283,200.46,268.707,257.38,224.831,260.642,274.758,289.454,303.351,317.553,351.763,384.207,449.368,408.06
C19,55.082,71.435,86.505,106.578,82.165,93.607,114.688,112.392,108.578,105.021,103.938,107.878,115.167,132.08,127.423
C20,53.685,72.846,81.445,87.566,85.668,88.954,111.443,107.614,100.136,91.197,83.978,94.714,99.638,124.994,100.907
C21,755.27,863.882,853.769,857.356,715.016,840.966,1084.943,1140.522,1154.058,1157.939,1160.404,1194.319,1208.803,1214.01,1080.365
C22,7.844,6.593,4.518,6.632,2.936,2.944,10.278,11.981,10.618,9.131,8.069,7.658,7.717,11.687,12.222
C23,707.616,897.638,918.637,946.275,905.827,974.581,1118.309,1158.077,1183.209,1196.931,1205.924,1231.96,1253.361,1280.001,1233.256
C24,9.243,8.897,11.431,16.579,7.282,5.525,10.276,12.807,12.228,11.924,11.526,12.679,12.985,13.829,9.424
C25,3245.915,3455.018,3744.76,4076.421,3893.11,3941.984,4182.843,4291.539,4347.481,4384.106,4407.96,4477.322,4544.836,4621.648,4487.844
C26,395.43,435.865,532.663,625.533,540.991,559.597,738.389,838.08,875.377,897.328,912.17,944.28,970.834,994.129,931.294
