,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
C0,4380.57,5417.748,6133.042,9269.933,2570.413,3165.044,8806.361,8826.716,8748.067,8898.244,9030.438,10149.149,11364.98,15373.093,11071.239
C1,2946.04,3623.956,3845.132,4778.982,3940.586,4180.522,4253.776,4079.421,3896.344,3800.319,3728.356,3757.573,3834.204,4248.69,4259.365
C2,916.912,942.94,978.059,1380.662,1472.653,1450.397,1374.117,1444.443,1475.06,1492.206,1500.801,1522.14,1573.813,1779.967,1778.028
C3,1274.043,1380.064,1331.561,1998.834,2710.378,2403.282,1888.224,2124.408,2246.031,2340.518,2416.546,2453.416,2557.477,2897.752,2949.419
C4,87.243,73.298,85.866,332.741,415.998,350.051,339.406,445.512,477.337,502.929,521.506,521.192,544.604,733.782,799.436
C5,123.432,86.141,64.549,113.67,86.451,67.287,87.79,104.557,96.375,90.674,86.814,89.051,86.737,112.608,81.109
C6,55.209,60.694,36.101,93.622,49.509,40.127,65.348,125.561,150.902,164.601,172.85,191.363,197.979,218.002,145.795
C7,19.08,31.447,18.739,34.221,25.531,29.54,48.418,71.605,75.956,75.223,73.81,73.292,72.015,95.853,94.736
C8,16.611,23.89,20.647,45.042,48.456,39.286,40.891,53.201,55.642,56.159,56.261,61.594,74.614,113.862,122.996
C9,17.82,12.583,9.566,29.548,19.802,18.065,29.154,57.772,54.838,49.458,44.528,46.624,47.932,82.559,73.565
C10,41.059,39.791,36.099,85.126,48.175,65.295,74.952,97.348,97.624,93.456,89.699,94.06,94.352,112.606,88.109
C11,68.748,84.626,52.383,171.497,98.887,68.502,157.345,223.943,232.065,237.189,238.945,249.482,252.934,333.256,295.338
C12,162.493,165.393,200.35,295.04,211.107,181.923,261.834,337.453,347.837,359.583,363.224,400.963,423.212,591.368,459.221
C13,136.275,182.224,171.658,285.564,267.856,257.835,292.606,269.135,247.719,227.882,214.871,231.114,237.621,347.819,250.555
C14,74.974,121.471,145.009,172.527,150.103,158.537,151.965,167.04,179.448,187.03,191.56,195.912,199.713,244.602,227.946
C15,198.26,306.658,371.312,752.504,557.145,456.458,536.1,739.056,853.096,912.554,952.972,1080.77,1204.725,1670.29,1354.247
C16,436.709,508.993,603.86,842.786,793.039,826.401,809.784,792.056,756.771,730.304,709.717,708.487,774.97,953.87,965.929
C17,632.33,830.165,911.384,1597.336,1460.246,1263.835,1536.929,1806.33,1969.997,2088.241,2178.411,2256.256,2407.727,3580.049,3924.086
C18,1005.563,1314.07,1521.29,2121.765,1929.41,1706.315,1952.76,2311.643,2563.48,2711.534,2808.33,2894.577,3158.329,3848.32,4169.352
C19,447.774,601.321,743.161,936.416,699.243,790.702,960.122,1023.715,1041.093,1032.71,1018.712,1022.798,1082.88,1423.683,1549.367
C20,358.11,502.124,566.575,634.426,583.486,644.76,825.324,855.633,867.159,875.853,882.279,927.486,933.962,923.754,721.028
C21,5111.604,6017.298,5968.821,6143.056,4817.67,5776.899,7850.692,8057.043,8331.348,8518.039,8635.449,8824.221,8963.128,9191.497,8519.011
C22,54.837,45.097,31.402,49.613,22.927,23.221,81.062,128.421,140.032,144.687,146.176,157.231,161.102,165.231,119.066
C23,4980.873,6341.21,6522.086,6796.158,6302.001,6864.336,8111.06,8314.408,8515.733,8684.548,8791.373,9012.702,9220.653,9456.447,8889.616
C24,71.474,70.902,91.514,135.131,50.932,41.784,81.72,118.037,127.79,133.176,136.767,142.959,145.716,166.726,141.536
C25,23967.621,25825.822,28679.096,31685.742,29445.143,29768.475,32884.445,32999.42,33326.816,33512.81,33649.598,34553.266,35474.637,36474.76,34390.47
C26,3299.254,3666.408,4597.958,5591.55,4840.868,4928.082,6600.613,7228.484,7389.048,7503.524,7588.558,8106.178,8661.208,9624.51,8869.509
C27,7746.908,8641.34,9823.126,11986.563,10378.596,10216.4,12591.07,12894.731,12912.362,12823.365,12811.058,13358.231,14021.479,15336.288,14485.283
C28,47507.547,50256.484,51659.543,51752.01,43984.99,46633.227,52556.848,54257.406,55318.492,55946.125,56326.8,56874.645,57248.39,57890.87,56348.82
C29,2881.529,3982.94,4985.995,8952.965,8977.277,7169.701,6810.889,7697.008,8161.364,8476.324,8680.91,8923.893,9339.693,10369.313,10733.722
C30,3458.363,3764.745,4243.766,6194.38,5499.198,5989.366,6538.213,6930.782,7240.572,7462.195,7636.928,8195.039,8731.854,9815.129,9139.037
C31,1718.74,2652.762,3798.736,8120.3,8334.816,7233.528,7111.175,8122.414,8601.667,8985.939,9296.72,9910.021,10733.704,12955.344,13300.705
C32,1536.148,2413.813,3636.34,7946.206,8504.646,6764.002,6404.041,7361.379,7948.235,8405.143,8723.611,9096.018,9689.193,11020.472,11479.361
C33,1248.669,1992.8,2772.998,5541.2,5579.211,5863.8,6357.985,7586.09,8178.46,8604.875,8910.233,9439.879,10104.804,11491.979,11632.855
C34,2604.117,2988.114,3726.726,7769.819,9535.049,9839.577,10319.857,11795.139,12253.277,12433.747,12518.638,12641.279,12859.26,13550.879,13813.146
C35,242.699,234.899,203.607,501.585,811.316,940.717,701.171,908.353,997.692,1064.374,1103.662,1149.399,1190.258,1368.9,1241.478
C36,315.636,355.924,241.852,571.648,860.017,1011.211,765.986,963.343,1069.416,1145.132,1183.722,1239.577,1332.296,1485.304,1354.274
C37,248.78,205.252,213.26,492.715,773.401,820.867,653.545,705.839,688.964,675.607,669.093,688.137,714.099,910.415,883.531
C38,228.325,194.872,194.141,419.716,691.928,749.74,562.315,645.273,672.681,688.773,697.458,745.054,792.433,1004.409,893.885
C39,148.558,135.919,188.921,409.813,641.267,721.27,630.001,790.724,881.634,926.244,952.37,989.337,1040.529,1251.704,1212.248
C40,152.846,133.688,178.42,499.48,895.108,954.206,634.153,766.637,809.807,872.188,932.591,967.777,1100.275,1589.81,1590.428
