,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
C0,5.68,7.144,8.454,13.185,6.37,6.464,13.513,16.795,19.528,21.411,23.197,24.345,25.319,29.233,26.596
C1,4.268,5.142,5.617,6.781,6.303,6.772,6.806,7.746,8.455,8.703,8.768,8.873,8.908,9.551,8.586
C2,1.927,1.839,1.971,2.495,2.651,2.78,2.537,2.485,2.948,3.315,3.593,3.777,3.894,4.602,3.819
C3,1.981,2.305,2.078,3.013,4.133,3.599,2.935,3.887,4.596,4.997,5.334,5.593,5.698,6.563,5.732
C4,0.146,0.115,0.124,0.398,0.48,0.413,0.417,0.876,1.284,1.482,1.715,1.831,1.964,2.568,1.996
C5,0.273,0.15,0.117,0.192,0.153,0.124,0.137,0.119,0.066,0.082,0.152,0.125,0.085,0.217,0.0
C6,0.099,0.136,0.058,0.14,0.076,0.067,0.098,0.238,0.391,0.524,0.659,0.676,0.739,1.228,0.747
C7,0.027,0.052,0.034,0.049,0.036,0.051,0.08,0.114,0.134,0.182,0.267,0.271,0.24,0.398,0.049
C8,0.026,0.046,0.042,0.085,0.093,0.077,0.08,0.063,0.064,0.096,0.112,0.138,0.089,0.32,0.066
C9,0.028,0.019,0.015,0.046,0.032,0.031,0.04,0.027,0.047,0.077,0.093,0.109,0.069,0.166,0.002
C10,0.083,0.071,0.076,0.143,0.081,0.126,0.131,0.191,0.409,0.691,0.924,0.954,0.95,1.355,0.686
C11,0.131,0.169,0.106,0.294,0.175,0.135,0.273,0.415,0.598,0.837,1.044,1.079,1.131,1.616,1.025
C12,0.317,0.343,0.429,0.632,0.411,0.402,0.45,0.812,1.042,1.195,1.367,1.44,1.52,2.161,1.506
C13,0.306,0.377,0.373,0.545,0.482,0.488,0.545,0.65,0.722,0.851,0.984,1.05,1.155,1.755,1.286
C14,0.234,0.312,0.411,0.482,0.416,0.426,0.418,0.535,0.623,0.656,0.661,0.713,0.864,1.59,1.385
C15,0.285,0.419,0.488,0.976,0.677,0.587,0.676,1.156,1.537,1.953,2.298,2.446,2.719,3.702,3.266
C16,0.762,0.887,1.058,1.468,1.352,1.405,1.349,1.528,1.596,1.76,1.949,2.052,2.133,2.647,1.989
C17,1.014,1.323,1.402,2.342,2.183,1.939,2.46,3.141,3.807,4.555,5.199,5.45,5.695,6.715,5.87
C18,1.659,2.127,2.403,3.301,3.193,2.906,3.304,4.935,6.334,7.421,8.284,8.632,8.869,9.695,8.777
C19,0.611,0.794,0.968,1.206,0.909,1.033,1.293,1.578,1.708,1.896,2.087,2.212,2.436,3.311,2.899
C20,0.586,0.797,0.889,0.962,0.929,0.967,1.223,1.258,1.251,1.222,1.296,1.362,1.444,2.258,1.709
C21,9.14,10.534,10.498,10.85,8.516,10.27,13.218,15.25,16.354,17.106,17.619,17.933,18.054,19.475,17.77
C22,0.092,0.083,0.053,0.078,0.034,0.037,0.123,0.144,0.262,0.444,0.644,0.634,0.591,0.877,0.328
C23,9.226,11.443,11.618,12.057,11.532,12.166,13.642,14.951,16.429,17.498,18.308,18.957,19.71,21.851,21.553
C24,0.106,0.1,0.131,0.189,0.097,0.065,0.113,0.335,0.531,0.781,1.026,1.013,0.954,1.415,0.614
C25,41.678,43.443,47.081,50.461,51.471,50.48,51.035,58.087,64.182,68.422,71.805,73.76,75.44,80.732,78.561
C26,4.542,4.946,6.037,6.99,5.998,6.199,8.284,8.425,8.711,9.21,9.65,9.959,10.199,11.588,10.437
C27,13.04,14.31,15.62,17.808,16.239,15.959,19.01,20.865,21.975,23.002,23.84,24.328,24.661,25.717,24.892
C28,79.024,82.555,84.523,84.653,77.883,79.483,88.51,102.399,112.334,117.993,121.453,122.887,124.044,127.515,125.089
C29,4.225,5.527,6.704,11.699,13.504,11.027,9.891,12.916,14.841,16.193,17.654,18.326,19.021,20.659,20.466
C30,5.071,5.433,5.725,7.922,7.258,8.135,8.317,8.589,8.579,8.578,8.55,8.783,8.776,9.812,8.646
C31,2.476,3.663,4.883,9.859,10.653,9.304,8.993,12.392,15.354,17.974,20.41,21.461,22.35,24.44,23.526
C32,2.394,3.328,5.103,9.505,10.438,8.326,7.82,9.716,11.852,13.441,14.973,15.686,16.38,18.274,17.821
C33,1.587,2.575,3.614,6.419,6.484,6.794,7.167,9.271,10.501,11.557,12.385,12.988,13.381,14.995,14.062
C34,5.08,5.014,5.826,11.223,13.735,14.251,14.076,16.317,17.66,18.799,19.89,20.601,21.606,24.208,25.568
C35,0.342,0.326,0.274,0.615,0.946,1.081,0.813,1.082,1.324,1.372,1.416,1.432,1.437,1.734,1.242
C36,0.55,0.588,0.415,0.802,1.005,1.19,0.921,1.129,1.368,1.442,1.515,1.566,1.519,2.059,1.451
C37,0.367,0.295,0.298,0.622,0.903,0.914,0.762,1.055,1.34,1.602,1.838,1.886,2.044,2.731,2.199
C38,0.372,0.306,0.3,0.542,0.81,0.863,0.673,1.161,1.465,1.611,1.652,1.73,1.901,2.758,2.294
C39,0.208,0.186,0.28,0.52,0.71,0.81,0.719,1.271,1.501,1.614,1.74,1.805,1.964,2.684,2.251
C40,0.219,0.198,0.266,0.607,1.026,1.096,0.781,1.245,1.814,2.215,2.449,2.617,2.756,3.453,2.894
C41,0.405,0.591,0.31,0.722,1.036,0.842,0.872,1.255,1.453,1.635,1.766,1.899,2.031,2.703,2.277
C42,4.066,5.489,5.169,6.564,6.328,7.606,7.786,10.278,11.967,13.523,14.677,15.186,15.58,17.217,15.838
