,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
C0,155.809,193.769,220.87,331.393,106.671,126.137,315.536,264.866,222.139,191.69,166.525,204.488,229.734,347.623,281.614
C1,115.869,140.682,152.388,186.218,159.677,171.311,173.28,169.67,169.188,168.692,168.845,174.154,176.51,180.954,167.004
C2,45.684,46.398,48.443,64.091,68.427,70.289,65.751,65.531,63.363,61.556,61.612,63.231,64.425,65.28,59.428
C3,55.391,64.211,58.914,85.163,118.029,102.683,82.71,82.287,84.176,86.537,89.156,96.269,101.587,109.193,91.877
C4,3.893,3.283,3.475,11.544,14.243,12.066,11.679,13.439,12.076,10.604,9.482,10.132,10.57,14.634,13.286
C5,6.181,3.975,3.039,5.014,3.833,3.094,3.819,4.204,3.646,2.972,2.389,2.159,1.89,3.317,2.601
C6,2.624,2.913,1.64,4.068,2.141,1.798,2.766,3.26,2.989,2.682,2.342,2.421,2.311,3.35,2.718
C7,0.768,1.426,0.845,1.356,1.035,1.327,2.053,2.624,2.576,2.553,2.506,2.91,2.853,3.706,2.342
C8,0.771,1.197,1.063,2.114,2.377,2.025,1.964,3.621,4.447,5.237,5.842,7.654,9.228,13.995,11.795
C9,0.763,0.559,0.443,1.274,0.845,0.833,1.089,1.794,1.6,1.504,1.396,1.239,1.171,2.153,1.946
C10,1.841,1.823,1.751,3.682,2.133,3.142,3.196,3.608,3.557,3.47,3.473,3.711,3.667,3.862,2.334
C11,3.018,3.989,2.557,7.527,4.387,3.184,6.413,7.145,6.734,6.309,6.334,6.506,6.333,8.236,6.579
C12,7.291,7.608,9.29,13.228,9.291,8.161,10.825,11.477,10.096,8.937,8.444,9.293,9.473,11.759,8.045
C13,6.376,8.147,8.002,12.892,11.709,11.39,12.78,11.964,11.315,10.868,11.132,12.63,13.233,14.812,8.982
C14,3.869,5.811,7.183,8.449,7.325,7.687,7.463,7.597,7.411,7.483,7.367,7.772,8.001,9.038,6.909
C15,7.651,11.2,13.564,27.416,19.662,16.344,19.158,23.254,28.241,33.362,35.738,42.382,46.65,60.82,46.001
C16,20.061,23.509,27.454,37.587,36.451,37.504,36.112,29.975,28.651,28.132,29.928,30.933,30.967,38.554,32.827
C17,29.187,37.157,38.968,66.229,63.943,55.896,67.836,68.575,66.46,64.149,62.197,75.804,88.502,136.796,129.082
C18,45.123,57.069,65.238,87.524,83.865,73.37,84.995,106.216,119.656,127.891,133.716,137.774,142.382,151.0,147.249
C19,17.879,23.189,28.087,34.617,26.668,30.379,37.246,37.726,37.01,36.594,36.967,40.444,42.187,45.223,34.631
C20,17.417,23.635,26.422,28.415,27.787,28.855,36.161,32.133,27.427,23.301,19.58,22.851,23.314,26.755,17.097
C21,245.88,281.313,278.103,279.565,232.644,273.866,353.289,354.404,352.002,349.434,348.438,358.369,361.843,364.511,331.107
C22,2.551,2.149,1.469,2.157,0.954,0.96,3.344,4.344,4.003,3.716,3.411,3.722,3.646,4.581,3.266
C23,230.995,292.779,299.54,308.637,295.435,317.63,364.17,372.431,379.33,383.796,386.651,398.095,404.606,422.69,398.564
C24,3.004,2.889,3.715,5.386,2.379,1.796,3.335,4.818,5.177,5.311,5.34,5.753,5.783,6.134,4.64
C25,1058.99,1126.337,1220.788,1328.158,1271.55,1285.956,1362.124,1393.847,1411.978,1422.678,1433.512,1465.788,1495.178,1546.396,1497.588
C26,128.501,141.584,173.02,203.092,175.599,181.633,239.764,238.264,236.936,238.004,237.877,261.307,279.106,316.808,293.337
C27,341.821,376.914,417.042,488.572,440.049,435.647,521.098,533.892,526.668,517.756,507.988,545.692,571.734,645.051,599.632
C28,1950.537,2054.126,2120.077,2114.436,1857.194,1954.937,2163.875,2249.268,2301.608,2338.897,2360.358,2400.578,2427.457,2457.879,2378.887
C29,117.505,157.538,191.864,334.464,348.845,285.874,274.976,311.251,333.246,346.556,355.908,366.374,382.219,431.383,441.798
C30,150.698,160.379,169.62,233.468,216.452,240.506,247.975,260.77,264.162,265.633,266.619,276.612,283.141,289.162,267.294
C31,72.966,106.984,143.421,290.9,313.141,273.717,262.157,301.271,325.727,342.438,361.508,393.563,437.601,567.703,593.019
C32,57.522,86.526,128.352,268.058,295.243,233.029,218.19,248.976,267.491,278.853,287.206,294.526,308.763,353.46,369.069
C33,45.827,71.444,97.786,185.958,189.952,197.825,210.067,238.99,256.011,265.045,272.596,292.373,310.358,362.964,348.993
C34,113.276,117.156,142.22,286.629,356.221,370.465,369.253,407.148,418.518,421.606,422.599,423.46,425.704,433.16,436.959
C35,9.377,9.251,7.839,17.935,27.728,31.734,23.916,21.669,19.123,18.355,19.34,22.581,24.291,29.02,19.202
C36,13.108,14.854,10.067,21.303,29.124,34.315,26.545,26.782,26.931,28.557,29.99,29.943,31.799,48.378,50.923
C37,10.229,8.475,8.474,18.092,26.637,27.248,22.659,20.158,16.903,14.754,13.097,14.064,14.987,20.566,17.873
C38,9.604,8.006,8.074,15.321,23.552,25.23,19.483,20.364,18.914,17.867,16.933,18.371,19.187,23.667,19.286
C39,5.872,5.438,7.719,14.387,21.297,23.886,21.466,19.992,17.372,15.258,14.855,17.287,18.481,21.367,14.269
C40,6.126,5.37,7.344,17.709,29.909,31.743,22.141,22.031,21.221,20.949,20.597,21.412,23.45,32.413,31.346
C41,8.017,8.987,6.88,17.689,27.998,22.885,21.656,21.055,19.054,17.017,15.679,16.247,18.272,31.251,32.485
C42,95.697,130.947,128.418,164.493,160.042,194.908,194.088,214.215,234.717,247.993,255.817,271.259,286.656,313.612,292.611
