,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
C0,19.335,24.023,27.293,40.805,12.519,15.113,38.575,38.917,38.145,36.76,36.422,42.693,45.695,54.009,27.196
C1,14.366,17.454,18.893,23.111,19.676,21.107,21.362,20.208,19.727,19.452,19.239,19.627,19.664,20.426,19.087
C2,5.594,5.715,5.952,7.908,8.446,8.66,8.119,7.891,7.724,7.523,7.344,7.515,7.586,7.942,7.641
C3,6.885,7.979,7.331,10.595,14.696,12.784,10.287,11.338,12.131,12.687,13.037,13.862,14.522,15.29,13.685
C4,0.482,0.409,0.432,1.439,1.779,1.505,1.452,1.787,1.62,1.479,1.331,1.542,1.604,2.584,2.002
C5,0.753,0.492,0.375,0.619,0.472,0.381,0.475,0.655,0.729,0.762,0.789,0.91,0.909,1.517,1.179
C6,0.325,0.353,0.204,0.507,0.266,0.223,0.344,0.753,1.051,1.314,1.538,2.017,2.254,2.154,0.77
C7,0.096,0.177,0.104,0.168,0.129,0.164,0.253,0.53,0.66,0.73,0.778,0.859,0.883,1.539,0.985
C8,0.096,0.148,0.131,0.26,0.293,0.25,0.241,0.633,0.864,0.934,0.971,0.804,0.875,1.012,1.031
C9,0.095,0.07,0.055,0.158,0.105,0.103,0.135,0.537,0.701,0.82,0.879,1.002,0.961,1.493,0.547
C10,0.224,0.225,0.214,0.454,0.264,0.387,0.392,0.647,0.794,0.867,0.886,1.045,1.049,1.591,0.981
C11,0.368,0.488,0.314,0.928,0.54,0.39,0.785,0.964,0.955,0.947,0.914,1.056,1.204,1.818,1.773
C12,0.89,0.925,1.127,1.598,1.132,0.983,1.327,2.045,2.418,2.569,2.633,2.987,3.274,3.789,3.066
C13,0.77,0.988,0.969,1.578,1.437,1.392,1.563,1.761,1.884,1.934,1.997,2.228,2.296,2.895,2.089
C14,0.453,0.692,0.848,0.998,0.866,0.912,0.884,1.04,1.11,1.116,1.122,1.25,1.426,2.228,1.835
C15,0.948,1.387,1.685,3.409,2.451,2.031,2.384,3.26,3.884,4.53,5.055,5.259,5.592,6.869,6.456
C16,2.481,2.909,3.39,4.636,4.517,4.643,4.472,4.44,4.598,4.744,4.837,4.76,4.966,4.916,4.785
C17,3.636,4.62,4.841,8.24,7.978,6.965,8.422,8.6,8.894,9.145,9.288,10.413,11.821,17.672,17.538
C18,5.595,7.069,8.089,10.83,10.368,9.038,10.488,12.218,13.378,14.156,14.677,15.232,15.871,16.929,16.658
C19,2.231,2.892,3.502,4.312,3.328,3.791,4.641,4.865,4.908,4.959,4.965,5.187,5.279,6.147,5.431
C20,2.175,2.952,3.301,3.547,3.472,3.605,4.515,3.864,3.228,2.653,2.104,2.609,2.819,3.278,1.958
C21,30.462,34.829,34.408,34.502,28.86,33.903,43.744,44.418,44.249,44.076,43.947,44.415,44.48,44.214,42.459
C22,0.317,0.265,0.182,0.268,0.119,0.118,0.415,0.657,0.691,0.731,0.726,0.963,1.109,1.862,1.319
C23,28.433,36.11,36.97,38.067,36.442,39.247,45.086,45.607,44.998,44.089,43.484,44.908,46.141,49.243,47.953
C24,0.374,0.36,0.462,0.671,0.292,0.223,0.416,0.737,0.941,1.066,1.184,1.411,1.584,1.782,1.276
C25,130.526,139.083,150.748,164.227,156.314,158.541,168.636,167.212,166.339,165.655,165.445,168.596,171.194,177.92,173.479
C26,15.988,17.632,21.549,25.323,21.908,22.662,29.886,31.213,31.274,31.486,31.481,32.905,34.154,38.27,37.907
C27,42.251,46.609,51.633,60.631,54.551,54.04,64.662,64.061,63.304,62.79,62.419,63.768,64.969,68.035,65.544
C28,239.764,252.69,261.001,260.204,227.525,240.223,265.743,276.271,282.601,286.643,289.289,292.73,294.841,294.453,286.739
C29,14.599,19.612,23.894,41.649,43.063,35.301,34.162,38.009,40.926,43.458,45.305,46.853,49.629,54.742,55.949
C30,18.823,20.022,21.182,29.143,27.044,30.029,30.982,30.667,30.558,30.372,30.084,30.889,31.277,32.156,30.71
C31,9.108,13.345,17.898,36.316,39.081,34.163,32.696,38.56,41.775,44.317,46.205,49.364,52.981,63.172,62.203
C32,7.052,10.687,15.805,33.342,36.733,28.967,27.115,30.822,32.436,33.598,34.437,35.444,37.275,40.807,42.863
C33,5.711,8.874,12.121,23.181,23.7,24.67,26.211,30.678,32.113,32.82,33.424,34.645,36.051,39.189,39.021
C34,13.782,14.324,17.463,35.346,43.989,45.758,45.645,52.941,54.963,55.916,56.734,57.268,58.569,62.965,65.359
C35,1.164,1.151,0.976,2.237,3.46,3.96,2.985,3.32,3.357,3.419,3.429,3.566,3.675,4.399,4.109
C36,1.606,1.83,1.235,2.636,3.631,4.276,3.308,3.479,3.525,3.628,3.699,3.708,3.969,4.631,4.768
C37,1.271,1.056,1.055,2.256,3.325,3.404,2.83,2.979,3.049,3.066,3.06,3.229,3.314,3.643,3.03
C38,1.186,0.989,1.0,1.906,2.937,3.147,2.428,2.796,2.9,2.949,3.01,3.312,3.503,4.707,3.628
C39,0.731,0.678,0.958,1.787,2.662,2.982,2.682,3.252,3.151,3.008,2.881,3.277,3.484,4.341,3.402
C40,0.761,0.666,0.912,2.209,3.73,3.957,2.755,2.909,2.962,2.988,3.052,3.094,3.191,3.579,3.106
C41,0.962,1.039,0.837,2.173,3.47,2.838,2.664,2.833,2.722,2.542,2.348,2.683,2.979,4.175,3.549
C42,11.708,16.043,15.795,20.248,19.718,24.043,23.88,27.781,30.4,31.976,32.888,34.407,35.698,38.594,35.426
